GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
MCWNT101-01-ES,com.bbva.mcwn,AbstractMCWNT10101ESTransaction,10,3,0,0,3,2,2,1,2,1
MCWNT101-01-ES,com.bbva.mcwn,MCWNT10101ESTransaction,103,7,2,0,28,2,2,2,1,2
