GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
MCWNR100IMPL,com.bbva.mcwn.lib.r100.impl,MCWNR100Abstract,4,7,0,0,2,3,1,2,1,2
MCWNR100IMPL,com.bbva.mcwn.lib.r100.impl,MCWNR100Impl,1149,7,178,0,265,2,101,2,12,2
