GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
MCWNT104-02-ES,com.bbva.mcwn,AbstractMCWNT10402ESTransaction,0,3,0,0,0,2,0,1,0,1
MCWNT104-02-ES,com.bbva.mcwn,MCWNT10402ESTransaction,0,13,0,0,0,4,0,3,0,3
