GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
MCWNR101IMPL,com.bbva.mcwn.lib.r101.impl,MCWNR101Impl,870,7,82,0,183,2,56,2,15,2
MCWNR101IMPL,com.bbva.mcwn.lib.r101.impl,MCWNR101Abstract,4,7,0,0,2,3,1,2,1,2
